iter	Passed	Remaining
0	174	34637
1	197	19572
2	226	14883
3	257	12624
4	328	12804
5	370	11979
6	408	11263
7	474	11377
8	528	11213
9	579	11001
10	613	10535
11	646	10134
12	673	9685
13	698	9283
14	719	8874
15	742	8538
16	769	8282
17	793	8024
18	818	7795
19	844	7597
20	870	7417
21	892	7224
22	913	7026
23	933	6845
24	951	6662
25	971	6501
26	991	6351
27	1017	6252
28	1040	6135
29	1067	6050
30	1090	5942
31	1114	5853
32	1145	5796
33	1166	5697
34	1210	5708
35	1312	5978
36	1390	6123
37	1553	6624
38	1634	6747
39	1708	6835
40	1796	6965
41	1878	7064
42	1944	7100
43	2020	7162
44	2091	7204
45	2145	7182
46	2206	7183
47	2296	7271
48	2362	7280
49	2454	7363
50	2573	7517
51	2650	7543
52	2741	7602
53	2845	7693
54	2984	7868
55	3128	8043
56	3300	8280
57	3392	8306
58	3509	8387
59	3608	8419
60	3684	8395
61	3720	8281
62	3758	8173
63	3789	8051
64	3811	7915
65	3837	7791
66	3859	7660
67	3880	7533
68	3901	7406
69	3921	7283
70	3945	7167
71	3964	7047
72	3984	6932
73	4012	6832
74	4034	6724
75	4061	6626
76	4089	6533
77	4115	6436
78	4133	6330
79	4154	6231
80	4171	6128
81	4197	6039
82	4216	5944
83	4236	5850
84	4259	5762
85	4277	5669
86	4294	5578
87	4313	5489
88	4330	5400
89	4351	5317
90	4367	5231
91	4385	5147
92	4401	5063
93	4417	4981
94	4435	4902
95	4450	4821
96	4466	4742
97	4482	4665
98	4498	4589
99	4513	4513
100	4532	4442
101	4551	4372
102	4568	4302
103	4583	4231
104	4599	4161
105	4614	4091
106	4629	4023
107	4643	3955
108	4660	3891
109	4678	3827
110	4701	3769
111	4723	3711
112	4743	3651
113	4766	3595
114	4784	3536
115	4802	3477
116	4819	3418
117	4838	3362
118	4855	3304
119	4873	3249
120	4891	3193
121	4911	3140
122	4931	3087
123	4949	3033
124	4966	2980
125	4984	2927
126	5000	2874
127	5016	2821
128	5032	2769
129	5048	2718
130	5067	2669
131	5083	2618
132	5098	2568
133	5112	2518
134	5127	2468
135	5144	2420
136	5161	2373
137	5178	2326
138	5197	2281
139	5216	2235
140	5232	2189
141	5249	2144
142	5266	2099
143	5282	2054
144	5300	2010
145	5319	1967
146	5341	1925
147	5365	1885
148	5395	1846
149	5426	1808
150	5455	1770
151	5478	1729
152	5496	1688
153	5516	1647
154	5539	1608
155	5561	1568
156	5581	1528
157	5603	1489
158	5619	1448
159	5637	1409
160	5654	1369
161	5674	1330
162	5693	1292
163	5720	1255
164	5743	1218
165	5771	1182
166	5793	1144
167	5813	1107
168	5834	1070
169	5851	1032
170	5871	995
171	5889	958
172	5907	921
173	5923	885
174	5940	848
175	5957	812
176	5973	776
177	5990	740
178	6006	704
179	6024	669
180	6043	634
181	6062	599
182	6080	564
183	6100	530
184	6120	496
185	6138	462
186	6157	428
187	6176	394
188	6199	360
189	6220	327
190	6239	294
191	6257	260
192	6273	227
193	6291	194
194	6306	161
195	6322	129
196	6341	96
197	6356	64
198	6372	32
199	6390	0
